Bank Handlowy w Warszawie SA,10301957,Bankowy Punkt Obsługi Klienta Nr 12 
Bank Handlowy w Warszawie SA,10301960,Bankowy Punkt Obsługi Klienta Nr 13 
Bank Handlowy w Warszawie SA,10301973,Bankowy Punkt Obsługi Klienta Nr 14 
Bank Handlowy w Warszawie SA,10301986,Bankowy Punkt Obsługi Klienta Nr 15 
Bank Handlowy w Warszawie SA,10301999,Bankowy Punkt Obsługi Klienta Nr 16 
ING Bank Śląski SA,10500002,Centrala - Centrum Płatności i Obsługi Klientów 
ING Bank Śląski SA,10500015,Centrala - Departament Księgowości Własnej 
ING Bank Śląski SA,10500028,Centrala - Centrum Płatności i Obsługi Klientów 
ING Bank Śląski SA,10500031,Centrala - Centrum Płatności i Obsługi Klientów 
ING Bank Śląski SA,10500044,Centrala - Departament Obsługi Kredytów Detalicznych 
ING Bank Śląski SA,10500060,Centrala - Centrum Operacyjnej Obsługi Klienta 
ING Bank Śląski SA,10500073,Centrala - Centrum Płatności i Obsługi Klientów 
ING Bank Śląski SA,10500099,Centrala - Centrum Płatności i Obsługi Klientów 
ING Bank Śląski SA,10500103,Centrala - Departament Obsługi Kredytów Detalicznych 
ING Bank Śląski SA,10500116,Centrala - Centrum Płatności i Obsługi Klientów 
ING Bank Śląski SA,10500129,Centrala - Centrum Płatności i Obsługi Klientów 
ING Bank Śląski SA,10500132,Centrala - Centrum Płatności i Obsługi Klientów 
ING Bank Śląski SA,10500145,Centrala - Departament Platform Kredytowych 
ING Bank Śląski SA,10500158,Centrala - Centrum Płatności i Obsługi Klientów 
ING Bank Śląski SA,10500161,Centrala - Centrum Płatności i Obsługi Klientów 
ING Bank Śląski SA,10500174,ING Bank Śląski S.A. Białystok 
ING Bank Śląski SA,10500187,ING Bank Śląski S.A. Białystok 
ING Bank Śląski SA,10500190,ING Bank Śląski S.A. Gdynia 
ING Bank Śląski SA,10500204,ING Bank Śląski S.A. Gdańsk II 
ING Bank Śląski SA,10500217,ING Bank Śląski S.A. Katowice 
ING Bank Śląski SA,10500220,ING Bank Śląski S.A. Katowice II 
ING Bank Śląski SA,10500233,ING Bank Śląski S.A.Kielce 
ING Bank Śląski SA,10500246,ING Bank Śląski S.A. Kraków 
ING Bank Śląski SA,10500259,ING Bank Śląski S.A. Lublin 
ING Bank Śląski SA,10500262,ING Bank Śląski S.A. Łódz 
ING Bank Śląski SA,10500275,ING Bank Śląski S.A. Olsztyn 
ING Bank Śląski SA,10500288,ING Bank Śląski S.A. Opole 
ING Bank Śląski SA,10500291,ING Bank Śląski S.A. Poznań 
ING Bank Śląski SA,10500305,ING Bank Śląski S.A. Poznań II 
ING Bank Śląski SA,10500318,ING Bank Śląski S.A. Szczecin 
ING Bank Śląski SA,10500321,ING Bank Śląski S.A. Rzeszów 
ING Bank Śląski SA,10500334,ING Bank Śląski S.A. Szczecin II 
ING Bank Śląski SA,10500347,ING Bank Śląski S.A. Warszawa 
ING Bank Śląski SA,10500350,ING Bank Śląski S.A. Bydgoszcz 
ING Bank Śląski SA,10500363,ING Bank Śląski S.A. Warszawa II 
ING Bank Śląski SA,10500376,ING Bank Śląski S.A. Warszawa II 
ING Bank Śląski SA,10500389,ING Bank Śląski S.A. Wrocław II 
ING Bank Śląski SA,10500392,ING Bank Śląski S.A. Wrocław 
ING Bank Śląski SA,10500406,ING Bank Śląski S.A.Zielona Góra 
